id,email_address,email_list_id,is_free,is_syntax,is_domain,is_smtp,is_verified,is_server_down,is_greylisted,is_disposable,is_suppressed,is_role,is_high_risk,is_catchall,status,mailboxvalidator_score
1,rrosario0@wufoo.com,1,False,True,True,True,False,False,False,False,False,False,False,False,False,0.18
2,hduding1@webeden.co.uk,1,False,True,True,True,True,False,False,False,False,False,False,True,True,0.53
3,mmott2@microsoft.com,1,False,True,True,True,False,False,False,False,False,False,False,False,False,0.18
4,kcasford3@miibeian.gov.cn,1,False,True,False,-,-,-,-,False,False,False,False,False,False,0
5,rmulford4@deliciousdays.com,1,False,True,True,True,False,False,False,False,False,False,False,False,False,0.18
6,pwyard5@fema.gov,1,False,True,True,True,False,False,False,False,False,False,False,True,False,0.13
7,lkuhnwald6@indiatimes.com,1,False,True,True,True,False,False,False,False,False,False,False,False,False,0.18
8,aleyson7@mozilla.org,1,False,True,True,True,True,False,False,False,False,False,False,True,True,0.53
9,mpellett8@istockphoto.com,1,False,True,True,True,False,False,False,False,False,False,False,True,False,0.13
10,vfransman9@boston.com,1,False,True,True,True,False,False,False,False,False,False,False,False,False,0.18
